instance_name,n_cities,algorithm,seed,tour_length,runtime_sec,optimal_tour_length,approx_ratio
tsp_small_10,10,SA,0,264.52802575193436,0.4562395000248216,264.5280257519344,0.9999999999999998
tsp_small_10,10,SA,1,264.52802575193436,0.42958480000379495,264.5280257519344,0.9999999999999998
tsp_small_10,10,SA,2,264.52802575193436,0.4251186999899801,264.5280257519344,0.9999999999999998
tsp_small_10,10,SA,3,264.52802575193436,0.4324139999807812,264.5280257519344,0.9999999999999998
tsp_small_10,10,SA,4,264.52802575193436,0.4348652999906335,264.5280257519344,0.9999999999999998
tsp_small_10,10,ACO,0,264.52802575193436,0.6030296000244562,264.5280257519344,0.9999999999999998
tsp_small_10,10,ACO,1,264.52802575193436,0.5946555999980774,264.5280257519344,0.9999999999999998
tsp_small_10,10,ACO,2,264.52802575193436,0.6073316000110935,264.5280257519344,0.9999999999999998
tsp_small_10,10,ACO,3,264.52802575193436,0.6051242999965325,264.5280257519344,0.9999999999999998
tsp_small_10,10,ACO,4,264.52802575193436,0.6057349999900907,264.5280257519344,0.9999999999999998
tsp_small_11,11,SA,0,280.7912843003088,0.4468864000227768,280.7912843003088,1.0
tsp_small_11,11,SA,1,280.7912843003088,0.44220510000013746,280.7912843003088,1.0
tsp_small_11,11,SA,2,280.7912843003088,0.4553355000098236,280.7912843003088,1.0
tsp_small_11,11,SA,3,280.7912843003088,0.43850129999918863,280.7912843003088,1.0
tsp_small_11,11,SA,4,280.7912843003088,0.4384818999969866,280.7912843003088,1.0
tsp_small_11,11,ACO,0,280.79128430030886,0.6624198999779765,280.7912843003088,1.0000000000000002
tsp_small_11,11,ACO,1,280.79128430030886,0.6693546999886166,280.7912843003088,1.0000000000000002
tsp_small_11,11,ACO,2,280.79128430030886,0.6503071000042837,280.7912843003088,1.0000000000000002
tsp_small_11,11,ACO,3,280.79128430030886,0.6529215000045951,280.7912843003088,1.0000000000000002
tsp_small_11,11,ACO,4,280.7912843003088,0.6570624000160024,280.7912843003088,1.0
tsp_small_12,12,SA,0,246.87371696346315,0.4573273000132758,246.87371696346318,0.9999999999999999
tsp_small_12,12,SA,1,246.87371696346315,0.44346119998954237,246.87371696346318,0.9999999999999999
tsp_small_12,12,SA,2,246.87371696346315,0.45541620001313277,246.87371696346318,0.9999999999999999
tsp_small_12,12,SA,3,246.87371696346315,0.4529523999954108,246.87371696346318,0.9999999999999999
tsp_small_12,12,SA,4,246.87371696346315,0.46057440000004135,246.87371696346318,0.9999999999999999
tsp_small_12,12,ACO,0,246.87371696346315,0.7441300000064075,246.87371696346318,0.9999999999999999
tsp_small_12,12,ACO,1,246.87371696346315,0.7332996999903116,246.87371696346318,0.9999999999999999
tsp_small_12,12,ACO,2,246.87371696346315,0.7628875999944285,246.87371696346318,0.9999999999999999
tsp_small_12,12,ACO,3,246.87371696346315,0.8043355999980122,246.87371696346318,0.9999999999999999
tsp_small_12,12,ACO,4,246.87371696346315,0.7454679000074975,246.87371696346318,0.9999999999999999
tsp_medium_50,50,SA,0,570.0571652248385,0.886824399989564,nan,nan
tsp_medium_50,50,SA,1,591.0065548059887,0.939600599987898,nan,nan
tsp_medium_50,50,SA,2,580.0720579123724,0.8748121000244282,nan,nan
tsp_medium_50,50,SA,3,567.5542264096536,0.8905737000168301,nan,nan
tsp_medium_50,50,SA,4,561.8564768262657,0.8841453999921214,nan,nan
tsp_medium_50,50,ACO,0,569.9297681943164,3.301394700014498,nan,nan
tsp_medium_50,50,ACO,1,597.2803598942387,3.434738899988588,nan,nan
tsp_medium_50,50,ACO,2,573.4543748910731,3.4577337999944575,nan,nan
tsp_medium_50,50,ACO,3,569.726921921021,3.265132000000449,nan,nan
tsp_medium_50,50,ACO,4,570.5936082941776,3.2883308999880683,nan,nan
tsp_large_100,100,SA,0,809.6583350637469,1.3549324000196066,nan,nan
tsp_large_100,100,SA,1,808.321139530724,1.388245200010715,nan,nan
tsp_large_100,100,SA,2,826.0378610383273,1.3748916999902576,nan,nan
tsp_large_100,100,SA,3,818.8733291748446,1.3752838000073098,nan,nan
tsp_large_100,100,SA,4,831.7949232375262,1.375868300005095,nan,nan
tsp_large_100,100,ACO,0,823.0702058528046,6.950141500012251,nan,nan
tsp_large_100,100,ACO,1,796.1137321849764,7.097043000016129,nan,nan
tsp_large_100,100,ACO,2,792.488286153832,6.98500509999576,nan,nan
tsp_large_100,100,ACO,3,815.9701345967754,6.935367900005076,nan,nan
tsp_large_100,100,ACO,4,785.7786109292483,6.920952899992699,nan,nan
tsp_large_150,150,SA,0,1181.81715866153,2.034183200012194,nan,nan
tsp_large_150,150,SA,1,1148.223157362564,2.221438999986276,nan,nan
tsp_large_150,150,SA,2,1116.4716103465753,2.189894800016191,nan,nan
tsp_large_150,150,SA,3,1159.8166160771561,2.7114329999894835,nan,nan
tsp_large_150,150,SA,4,1159.2463603196566,2.314778700005263,nan,nan
tsp_large_150,150,ACO,0,1016.181017648034,12.204197499988368,nan,nan
tsp_large_150,150,ACO,1,1011.3204705252672,12.108837800013134,nan,nan
tsp_large_150,150,ACO,2,1006.1865468725575,11.111536799988244,nan,nan
tsp_large_150,150,ACO,3,1037.0730170310455,11.276248599984683,nan,nan
tsp_large_150,150,ACO,4,1002.207237162572,11.091064100008225,nan,nan
tsp_large_200,200,SA,0,1463.2991037061165,2.4096761000109836,nan,nan
tsp_large_200,200,SA,1,1471.9290701719535,2.391694499994628,nan,nan
tsp_large_200,200,SA,2,1558.803548915398,2.4022801000101026,nan,nan
tsp_large_200,200,SA,3,1468.5676562824497,2.3912231999856886,nan,nan
tsp_large_200,200,SA,4,1535.384728836579,2.392302899999777,nan,nan
tsp_large_200,200,ACO,0,1226.978828289047,16.103354399994714,nan,nan
tsp_large_200,200,ACO,1,1231.2107397844852,15.665337000013096,nan,nan
tsp_large_200,200,ACO,2,1250.4150689205003,15.58411409999826,nan,nan
tsp_large_200,200,ACO,3,1223.9810265852195,15.796111999981804,nan,nan
tsp_large_200,200,ACO,4,1223.0182702821335,15.464300099993125,nan,nan
